,,,,,,,
zip,uscis_id,lat,lng,,,,
35004,2,33.59,-86.49,,,,
35005,2,33.59,-86.95,,,,
35006,2,33.42,-87.19,,,,
35007,2,33.22,-86.82,,,,
35010,2,32.92,-85.93,,,,
35011,2,32.92,-85.93,,,,
35013,2,33.9,-86.51,,,,
35014,2,33.33,-86.18,,,,
35015,2,33.61,-86.59,,,,
35016,2,34.32,-86.5,,,,
35019,2,34.26,-86.61,,,,
35020,2,33.37,-86.96,,,,
35021,2,33.37,-86.96,,,,
35022,2,33.37,-86.96,,,,
35023,2,33.43,-86.99,,,,
35031,2,34.08,-86.58,,,,
35032,2,33.26,-86.33,,,,
35033,2,33.95,-87,,,,
35034,2,32.94,-87.17,,,,
35035,2,33.06,-86.98,,,,
35036,2,33.63,-86.91,,,,
35038,2,33.6,-87.14,,,,
35040,2,33.1,-86.75,,,,
35041,2,33.64,-86.92,,,,
35042,2,32.95,-87.13,,,,
35043,2,33.32,-86.63,,,,
35044,2,33.27,-86.35,,,,
35045,2,32.84,-86.62,,,,
35046,2,32.84,-86.62,,,,
35048,2,33.7,-86.58,,,,
35049,2,33.99,-86.57,,,,
35051,2,33.17,-86.6,,,,
35052,2,33.59,-86.36,,,,
35053,2,34.07,-87.05,,,,
35054,2,33.45,-86.34,,,,
35055,2,34.17,-86.83,,,,
35056,2,34.17,-86.83,,,,
35057,2,34.17,-86.83,,,,
35058,2,34.17,-86.83,,,,
35060,2,33.56,-86.89,,,,
35061,2,33.47,-86.94,,,,
35062,2,33.73,-87.08,,,,
35063,2,33.84,-87.01,,,,
35064,2,33.47,-86.91,,,,
35068,2,33.61,-86.8,,,,
35070,2,34.01,-86.75,,,,
35071,2,33.66,-86.8,,,,
35072,2,33.06,-86.05,,,,
35073,2,33.62,-86.96,,,,
35074,2,33.21,-87.14,,,,
35077,2,34.06,-86.76,,,,
35078,2,33.34,-86.43,,,,
35079,2,33.89,-86.75,,,,
35080,2,33.28,-86.85,,,,
35082,2,33.18,-86.09,,,,
35083,2,34.17,-86.61,,,,
35085,2,32.96,-86.74,,,,
35087,2,34.27,-86.54,,,,
35089,2,32.97,-86.09,,,,
35091,2,33.76,-86.8,,,,
35094,2,33.54,-86.56,,,,
35096,2,33.59,-86.13,,,,
35097,2,33.9,-86.62,,,,
35098,2,34.18,-87.04,,,,
35111,2,33.28,-87.12,,,,
35112,2,33.68,-86.47,,,,
35114,2,33.23,-86.93,,,,
35115,2,33.1,-86.85,,,,
35116,2,33.74,-86.8,,,,
35117,2,33.67,-86.89,,,,
35118,2,33.54,-86.97,,,,
35119,2,33.68,-86.77,,,,
35120,2,33.68,-86.39,,,,
35121,2,33.95,-86.47,,,,
35123,2,33.74,-86.65,,,,
35124,2,33.3,-86.79,,,,
35125,2,33.56,-86.27,,,,
35126,2,33.72,-86.65,,,,
35127,2,33.48,-86.97,,,,
35128,2,33.56,-86.27,,,,
35130,2,33.64,-87.14,,,,
35131,2,33.74,-86.13,,,,
35133,2,33.84,-86.62,,,,
35135,2,33.61,-86.2,,,,
35136,2,32.88,-86.21,,,,
35137,2,33.25,-86.79,,,,
35139,2,33.73,-86.99,,,,
35142,2,33.4,-86.89,,,,
35143,2,33.07,-86.56,,,,
35144,2,33.25,-86.79,,,,
35146,2,33.77,-86.47,,,,
35147,2,33.43,-86.5,,,,
35148,2,33.75,-87.04,,,,
35149,2,33.26,-86.17,,,,
35150,2,33.17,-86.26,,,,
35151,2,33.17,-86.26,,,,
35160,2,33.43,-86.09,,,,
35161,2,33.43,-86.09,,,,
35171,2,32.91,-86.71,,,,
35172,2,33.82,-86.74,,,,
35173,2,33.63,-86.59,,,,
35175,2,34.4,-86.44,,,,
35176,2,33.48,-86.5,,,,
35178,2,33.38,-86.4,,,,
35179,2,34.26,-86.94,,,,
35180,2,33.81,-86.8,,,,
35181,2,33.68,-86.77,,,,
35182,2,33.74,-86.43,,,,
35183,2,32.93,-86.41,,,,
35184,2,33.11,-87.12,,,,
35185,2,33.38,-86.6,,,,
35186,2,33.23,-86.47,,,,
35187,2,33.08,-86.88,,,,
35188,2,33.16,-87.17,,,,
35201,2,33.52,-86.79,,,,
35202,2,33.52,-86.79,,,,
35203,2,33.52,-86.79,,,,
35204,2,33.52,-86.79,,,,
35205,2,33.52,-86.79,,,,
35206,2,33.52,-86.79,,,,
35207,2,33.52,-86.79,,,,
35208,2,33.52,-86.79,,,,
35209,2,33.52,-86.79,,,,
35210,2,33.52,-86.79,,,,
35211,2,33.52,-86.79,,,,
35212,2,33.52,-86.79,,,,
35213,2,33.52,-86.79,,,,
35214,2,33.52,-86.79,,,,
35215,2,33.52,-86.79,,,,
35216,2,33.52,-86.79,,,,
35217,2,33.52,-86.79,,,,
35218,2,33.52,-86.79,,,,
35219,2,33.52,-86.79,,,,
35220,2,33.52,-86.79,,,,
35221,2,33.52,-86.79,,,,
35222,2,33.52,-86.79,,,,
35223,2,33.52,-86.79,,,,
35224,2,33.52,-86.79,,,,
35225,2,33.46,-86.81,,,,
35226,2,33.52,-86.79,,,,
35228,2,33.52,-86.79,,,,
35229,2,33.52,-86.79,,,,
35230,2,33.46,-86.81,,,,
35231,2,33.52,-86.79,,,,
35232,2,33.52,-86.79,,,,
35233,2,33.52,-86.79,,,,
35234,2,33.52,-86.79,,,,
35235,2,33.52,-86.79,,,,
35236,2,33.52,-86.79,,,,
35237,2,33.52,-86.79,,,,
35238,2,33.52,-86.79,,,,
35240,2,33.46,-86.81,,,,
35242,2,33.52,-86.79,,,,
35243,2,33.52,-86.79,,,,
35244,2,33.52,-86.79,,,,
35245,2,33.46,-86.81,,,,
35246,2,33.52,-86.79,,,,
35249,2,33.52,-86.79,,,,
35253,2,33.52,-86.79,,,,
35254,2,33.52,-86.79,,,,
35255,2,33.52,-86.79,,,,
35259,2,33.52,-86.79,,,,
35260,2,33.52,-86.79,,,,
35261,2,33.52,-86.79,,,,
35263,2,33.53,-86.78,,,,
35266,2,33.52,-86.79,,,,
35277,2,33.44,-86.73,,,,
35278,2,33.46,-86.81,,,,
35279,2,33.42,-86.78,,,,
35280,2,33.51,-86.8,,,,
35281,2,33.51,-86.8,,,,
35282,2,33.52,-86.79,,,,
35283,2,33.52,-86.79,,,,
35285,2,33.52,-86.79,,,,
35286,2,33.42,-86.78,,,,
35287,2,33.52,-86.79,,,,
35288,2,33.52,-86.79,,,,
35289,2,33.51,-86.8,,,,
35290,2,33.52,-86.79,,,,
35291,2,33.52,-86.79,,,,
35292,2,33.52,-86.79,,,,
35293,2,33.52,-86.79,,,,
35294,2,33.52,-86.79,,,,
35295,2,33.52,-86.79,,,,
35296,2,33.52,-86.79,,,,
35297,2,33.52,-86.79,,,,
35298,2,33.52,-86.79,,,,
35299,2,33.51,-86.8,,,,
35401,2,33.23,-87.54,,,,
35402,2,33.23,-87.54,,,,
35403,2,33.23,-87.54,,,,
35404,2,33.23,-87.54,,,,
35405,2,33.23,-87.54,,,,
35406,2,33.23,-87.54,,,,
35407,2,33.23,-87.54,,,,
35440,2,33.26,-87.16,,,,
35441,2,32.87,-87.73,,,,
35442,2,33.12,-88.15,,,,
35443,2,32.75,-88.02,,,,
35444,2,33.24,-87.32,,,,
35446,2,33.25,-87.73,,,,
35447,2,33.26,-88.09,,,,
35448,2,32.93,-87.98,,,,
35449,2,33.15,-87.36,,,,
35452,2,33.28,-87.67,,,,
35453,2,33.16,-87.36,,,,
35456,2,33.06,-87.42,,,,
35457,2,33.32,-87.81,,,,
35458,2,33.36,-87.8,,,,
35459,2,32.72,-88.31,,,,
35460,2,32.69,-88.12,,,,
35461,2,33.41,-88.21,,,,
35462,2,32.84,-87.89,,,,
35463,2,33.12,-87.72,,,,
35464,2,32.81,-88.15,,,,
35466,2,33.32,-87.9,,,,
35468,2,33.31,-87.32,,,,
35469,2,32.97,-87.8,,,,
35470,2,32.59,-88.18,,,,
35471,2,33.38,-88.14,,,,
35473,2,33.24,-87.59,,,,
35474,2,32.99,-87.63,,,,
35475,2,33.24,-87.59,,,,
35476,2,33.24,-87.59,,,,
35477,2,32.96,-88.29,,,,
35478,2,33.31,-87.32,,,,
35480,2,33.05,-87.76,,,,
35481,2,33.37,-88.01,,,,
35482,2,33.45,-87.66,,,,
35485,2,33.23,-87.54,,,,
35486,2,33.23,-87.54,,,,
35487,2,33.23,-87.54,,,,
35490,2,33.17,-87.22,,,,
35491,2,32.94,-88.1,,,,
35501,2,33.85,-87.27,,,,
35502,2,33.85,-87.27,,,,
35503,2,33.85,-87.27,,,,
35504,2,33.85,-87.27,,,,
35540,2,34.19,-87.17,,,,
35541,2,34.08,-87.21,,,,
35542,2,33.7,-87.68,,,,
35543,2,34.26,-87.71,,,,
35544,2,33.93,-88.02,,,,
35545,2,33.64,-87.92,,,,
35546,2,33.66,-87.6,,,,
35548,2,34.01,-87.77,,,,
35549,2,33.89,-87.52,,,,
35550,2,33.76,-87.19,,,,
35551,2,34.17,-87.61,,,,
35552,2,34.02,-88.16,,,,
35553,2,34.14,-87.4,,,,
35554,2,33.92,-87.61,,,,
35555,2,33.69,-87.83,,,,
35559,2,33.88,-87.74,,,,
35560,2,33.67,-87.23,,,,
35563,2,33.96,-87.91,,,,
35564,2,34.27,-87.83,,,,
35565,2,34.23,-87.61,,,,
35570,2,34.14,-87.98,,,,
35571,2,34.32,-87.92,,,,
35572,2,34.12,-87.25,,,,
35573,2,33.9,-87.55,,,,
35574,2,33.58,-87.98,,,,
35575,2,34.04,-87.54,,,,
35576,2,33.55,-88.08,,,,
35577,2,34.1,-87.6,,,,
35578,2,33.98,-87.48,,,,
35579,2,33.71,-87.38,,,,
35580,2,33.73,-87.28,,,,
35581,2,34.35,-87.7,,,,
35582,2,34.43,-88.13,,,,
35584,2,33.82,-87.08,,,,
35585,2,34.37,-87.69,,,,
35586,2,33.89,-88.13,,,,
35587,2,33.83,-87.44,,,,
35592,2,33.75,-88.11,,,,
35593,2,34.37,-88.05,,,,
35594,2,33.92,-87.79,,,,
35601,2,34.57,-86.98,,,,
35602,2,34.57,-86.98,,,,
35603,2,34.57,-86.98,,,,
35609,2,34.57,-86.98,,,,
35610,2,34.91,-87.27,,,,
35611,2,34.78,-86.95,,,,
35612,2,34.78,-86.95,,,,
35613,2,34.78,-86.95,,,,
35614,2,34.78,-86.95,,,,
35615,2,34.65,-86.82,,,,
35616,2,34.75,-87.96,,,,
35617,2,34.95,-87.78,,,,
35618,2,34.66,-87.31,,,,
35619,2,34.39,-87.12,,,,
35620,2,34.92,-86.97,,,,
35621,2,34.33,-86.75,,,,
35622,2,34.37,-86.9,,,,
35630,2,34.82,-87.66,,,,
35631,2,34.82,-87.66,,,,
35632,2,34.82,-87.66,,,,
35633,2,34.82,-87.66,,,,
35634,2,34.82,-87.66,,,,
35640,2,34.43,-86.93,,,,
35643,2,34.63,-87.18,,,,
35645,2,34.86,-87.52,,,,
35646,2,34.69,-87.53,,,,
35647,2,34.98,-87.14,,,,
35648,2,34.96,-87.37,,,,
35649,2,34.62,-86.88,,,,
35650,2,34.48,-87.28,,,,
35651,2,34.4,-87.44,,,,
35652,2,34.82,-87.28,,,,
35653,2,34.5,-87.72,,,,
35654,2,34.5,-87.72,,,,
35660,2,34.75,-87.7,,,,
35661,2,34.74,-87.64,,,,
35662,2,34.74,-87.64,,,,
35670,2,34.47,-86.8,,,,
35671,2,34.66,-86.95,,,,
35672,2,34.67,-87.4,,,,
35673,2,34.59,-87.08,,,,
35674,2,34.72,-87.7,,,,
35677,2,34.91,-88.06,,,,
35699,2,34.57,-86.98,,,,
35739,2,34.98,-86.83,,,,
35740,2,34.94,-85.71,,,,
35741,2,34.7,-86.46,,,,
35742,2,34.77,-87.01,,,,
35744,2,34.6,-85.91,,,,
35745,2,34.91,-86.2,,,,
35746,2,34.83,-85.98,,,,
35747,2,34.51,-86.25,,,,
35748,2,34.7,-86.37,,,,
35749,2,34.85,-86.74,,,,
35750,2,34.92,-86.56,,,,
35751,2,34.79,-86.25,,,,
35752,2,34.71,-85.96,,,,
35754,2,34.48,-86.62,,,,
35755,2,34.53,-86.09,,,,
35756,2,34.7,-86.74,,,,
35757,2,34.7,-86.74,,,,
35758,2,34.7,-86.74,,,,
35759,2,34.87,-86.57,,,,
35760,2,34.53,-86.41,,,,
35761,2,34.9,-86.42,,,,
35762,2,34.79,-86.7,,,,
35763,2,34.6,-86.46,,,,
35764,2,34.66,-86.32,,,,
35765,2,34.68,-85.84,,,,
35766,2,34.83,-86.22,,,,
35767,2,34.73,-86.5,,,,
35768,2,34.64,-86.04,,,,
35769,2,34.64,-86.04,,,,
35771,2,34.58,-85.98,,,,
35772,2,34.87,-85.83,,,,
35773,2,34.9,-86.72,,,,
35774,2,34.74,-86.27,,,,
35775,2,34.55,-86.69,,,,
35776,2,34.62,-86.28,,,,
35801,2,34.7,-86.62,,,,
35802,2,34.7,-86.62,,,,
35803,2,34.7,-86.62,,,,
35804,2,34.7,-86.62,,,,
35805,2,34.7,-86.62,,,,
35806,2,34.7,-86.62,,,,
35807,2,34.7,-86.62,,,,
35808,2,34.7,-86.62,,,,
35809,2,34.7,-86.62,,,,
35810,2,34.7,-86.62,,,,
35811,2,34.7,-86.62,,,,
35812,2,34.7,-86.62,,,,
35813,2,34.7,-86.62,,,,
35814,2,34.7,-86.62,,,,
35815,2,34.7,-86.62,,,,
35816,2,34.7,-86.62,,,,
35824,2,34.7,-86.62,,,,
35893,2,34.7,-86.62,,,,
35894,2,34.7,-86.62,,,,
35895,2,34.7,-86.62,,,,
35896,2,34.7,-86.62,,,,
35897,2,34.7,-86.62,,,,
35898,2,34.7,-86.62,,,,
35899,2,34.7,-86.62,,,,
35901,2,34.01,-86.01,,,,
35902,2,34.01,-86.01,,,,
35903,2,34.01,-86.01,,,,
35904,2,34.01,-86.01,,,,
35905,2,34.01,-86.01,,,,
35906,2,33.92,-86.08,,,,
35907,2,34.01,-86.01,,,,
35950,2,34.26,-86.2,,,,
35951,2,34.26,-86.2,,,,
35952,2,34.03,-86.31,,,,
35953,2,33.83,-86.26,,,,
35954,2,34.01,-86.1,,,,
35956,2,34.2,-86.15,,,,
35957,2,34.2,-86.15,,,,
